BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Tower Hamlets,Archives,,Archives Mile End Library Queen Mary University of London ,328 Mile End Road,,,E09000030,Tower Hamlets,,,536092.9630013237,,,E09000030,51.524188849827524,-0.03966442127220717,182406.92324846925,6164839,,04/20/2020,"London University: Queen Mary, University of London",,E05009317,Bethnal Green,,,,https://www.qmul.ac.uk/
Tower Hamlets,Archives,,21 Prescot Street,,,,E09000030,Tower Hamlets,,,533949.9235802057,,,E09000030,51.511416482973054,-0.07109835506890998,180928.64364861575,6193878,,04/20/2020,Royal College of Psychiatrists,,E05009336,Whitechapel,,,,https://www.rcpsych.ac.uk/
Tower Hamlets,Archives,,4th Floor Universal House ,88-94 Wentworth Street,,,E09000030,Tower Hamlets,,,533941.9635825254,,,E09000030,51.5170823515439,-0.07097359445088947,181558.92348032835,6198476,,04/20/2020,Living Streets,,E05009333,Spitalfields & Banglatown,,,,https://www.livingstreets.org.uk/
Tower Hamlets,Archives,,No 1 Warehouse ,West India Quay ,Hertsmere Road,,E09000030,Tower Hamlets,,,537287.962676432,,,E09000030,51.50769778692042,-0.02315200152543262,180603.923735801,6650052,,04/20/2020,Museum of London Docklands - Port and River Archive,,E05009323,Canary Wharf,,,,https://www.museumoflondon.org.uk/collections/access-and-enquiries/port-london-authority-archive
Tower Hamlets,Archives,,Museum in Docklands ,No 1 Warehouse ,West India Quay,,E09000030,Tower Hamlets,,,537287.962676432,,,E09000030,51.50769778692042,-0.02315200152543262,180603.923735801,6650052,,04/20/2020,Sainsbury Archive,,E05009323,Canary Wharf,,,,https://www.museumoflondon.org.uk/collections/access-and-enquiries/sainsbury-archive
Tower Hamlets,Archives,,Minority Rights Group International ,54 Commercial Street London,,,E09000030,Tower Hamlets,,,533776.9636278015,,,E09000030,51.51744496280338,-0.07333654302913849,181594.9234705867,6715453,,04/20/2020,Minority Rights Group,,E05009333,Spitalfields & Banglatown,,,,https://minorityrights.org/
Camden,Archives,,Crowndale Road,,,,E09000007,Camden,,,529376.964826551,,,E09000007,51.53523861934623,-0.1360298116422288,183460.92296196608,5005485,,04/20/2020,Working Mens College,,E05000143,St. Pancras and Somers Town,,,,
Camden,Archives,,183 Euston Road,,,,E09000007,Camden,,,529549.9647789886,,,E09000007,51.52589757360404,-0.13391745499090352,182425.92324462504,5083806,,04/20/2020,Wellcome Collection,,E05000129,Bloomsbury,,,,https://wellcomecollection.org/
Camden,Archives,,185 Broadhurst Gardens,,,,E09000007,Camden,,,525571.9658577302,,,E09000007,51.546189420086314,-0.19046015216857629,184583.9226557511,5082898,,04/20/2020,English National Opera Archive,,E05000145,West Hampstead,,,,https://www.eno.org/
Camden,Archives,,16 Taviton Street,,,,E09000007,Camden,,,529702.9647373258,,,E09000007,51.5253232823771,-0.13173528673594687,182365.92326056637,5007450,,04/20/2020,London University: UCL School of Slavonic and East European Studies,,E05000129,Bloomsbury,,,,https://www.ucl.ac.uk/ssees/
Camden,Archives,,28 Fitzroy Square,,,,E09000007,Camden,,,529088.9649020963,,,E09000007,51.522596994045905,-0.14069786058328965,182046.92334625148,5008666,,04/20/2020,Magistrates Association,,E05000129,Bloomsbury,,,,https://www.magistrates-association.org.uk/
Camden,Archives,,20 Maresfield Gardens,,,,E09000007,Camden,,,526481.9656110811,,,E09000007,51.548421887860975,-0.17724635523895355,184854.9225833427,5012934,,04/20/2020,Freud Museum,,E05000133,Frognal and Fitzjohns,,,,https://www.freud.org.uk/
Camden,Archives,,Keats Grove Hampstead,,,,E09000007,Camden,,,527107.9654404335,,,E09000007,51.555569759537,-0.16793017978542632,185665.92236346728,5015415,,04/20/2020,Keats House,,E05000135,Hampstead Town,,,,https://www.cityoflondon.gov.uk/things-to-do/keats-house/Pages/default.aspx
Camden,Archives,,Senate House Malet Street,,,,E09000007,Camden,,,529926.9646748579,,,E09000007,51.520643622744345,-0.1286980244626283,181850.92339879804,5016035,,04/20/2020,London University: Senate House Library,,E05000129,Bloomsbury,,,,https://www.senatehouselibrary.ac.uk/
Camden,Archives,,De Morgan House ,57-58 Russell Square,,,E09000007,Camden,,,530223.9645946934,,,E09000007,51.521177419868856,-0.1243949459328416,181917.92338010436,5083525,,04/20/2020,London Mathematical Society,,E05000129,Bloomsbury,,,,https://www.lms.ac.uk/
