BOROUGH,Cultural Venue Type,site_name,address1,address2,address3,borough_code,borough_name,latitude,longitude,easting,northing,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,gss_code,runtime
Waltham Forest,Community centres,"Marmion Centre, Waltham Forest Resource Hub",58 Hall Lane, London,NA,E09000031,Waltham Forest,51.6170660200488,-0.021032705150611147,537105.9628440364,192769.92055178876,100023000650,E05000607,Valley,https://www.ageuk.org.uk/walthamforest/,E09000031,12/27/2020
Waltham Forest,Community centres,Friday Hill House Community Care Support Centre,56 Friday Hill, London,NA,E09000031,Waltham Forest,51.62183773479019,0.00880491479049135,539156.9622880176,193356.9203942865,200001418874,E05000598,Hatch Lane,,E09000031,12/27/2020
Waltham Forest,Community centres,Friday Hill Tenant Management Community Centre & Offices,19 Chingdale Road, London,NA,E09000031,Waltham Forest,51.61989123186507,0.009571259616279748,539215.9622717726,193141.92045266682,100022998622,E05000598,Hatch Lane,http://www.fridayhilltmo.org.uk/community-association,E09000031,12/27/2020
Waltham Forest,Community centres,Chingdale Centre,19 Chingdale Road, London,NA,E09000031,Waltham Forest,51.61989123186507,0.009571259616279748,539215.9622717726,193141.92045266682,100023583824,E05000598,Hatch Lane,,E09000031,12/27/2020
Waltham Forest,Community centres,Vestry House Museum Community Caf̩ & Room,Vestry Road, London,NA,E09000031,Waltham Forest,51.58401371573883,-0.012739355938528448,537779.9626621486,189109.9215461703,100022986430,E05000601,Hoe Street,https://vestryhousemuseum.org.uk/,E09000031,12/27/2020
Waltham Forest,Community centres,Waltham Forest Community Hub,18A Orford Road, London,NA,E09000031,Waltham Forest,51.582795016409335,-0.012460484068907656,537802.9626559827,188974.9215832636,100022985164,E05000601,Hoe Street,https://www.wfchub.org/,E09000031,12/27/2020
Waltham Forest,Community centres,Markhouse Road Day Centre,247 Markhouse Road, London,NA,E09000031,Waltham Forest,51.5747463000038,-0.028426824043124944,536720.9629509648,188049.92183802888,100022984173,E05000606,Markhouse,https://directory.walthamforest.gov.uk/kb5/walthamforest/directory/service.page?id=HASnaIBO0VQ,E09000031,12/27/2020
Waltham Forest,Community centres,The Mill Community Centre at Coppermill Ltd,7-11 Coppermill Lane, London,NA,E09000031,Waltham Forest,51.581341593532464,-0.03455056087713653,536276.9630712803,188771.92164213554,100022984117,E05000599,High Street,https://themille17.org/,E09000031,12/27/2020
Waltham Forest,Community centres,Ambia Community Centre,144 Bramley Close, London,NA,E09000031,Waltham Forest,51.5939291641527,-0.03230413931553472,536394.9630410852,190175.92125892895,100023583751,E05000600,Higham Hill,,E09000031,12/27/2020
Waltham Forest,Community centres,Gnome House Community Print Making Workshop & Caf̩,Gnome House, 7 Blackhorse Lane, London,E09000031,Waltham Forest,51.58915830333042,-0.04060921395705522,535833.9631928384,189629.92140690662,10091186484,E05000608,William Morris,http://gnomehouse.org.uk/,E09000031,12/27/2020
